"","can_name_clean","yr","cst_n","cst","pty_n","party_code","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"24","AGUNG BUDI SANTOSO SH",2009,"Jawa Barat I",14,"DEMOKRAT",9,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","3302210252","NA; https://www.facebook.com/AgungBudiSantosoPage",1,1
"25","AGUNG JELANTIK SANJAYA",2009,"Bali",4,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)",NA,"NA",0,0
"26","AGUS BASTIAN SE MM",2009,"Daerah Istimewa Yogyakarta",9,"DEMOKRAT",9,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)",NA,"https://www.facebook.com/AgusBastianz",0,0
"27","AGUSTINUS DJIU SE SH MM",2009,"Kalimantan Timur",51,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a",NA,"NA",0,0
"28","AHMAD AFIFI WAHAB AFIF SH",2009,"Banten II",6,"DEMOKRAT",9,0,"n/a",NA,"NA",0,0
"29","AHMAD CHUDORI",2009,"Kalimantan Timur",51,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","1612487180","NA; https://www.facebook.com/Ahmad-Chudori-483245561781339",0,1
"30","AHMAD MUMTAZ RAIS SE",2009,"Jawa Tengah VII",33,"PARTAI AMANAT NASIONAL",5,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)",NA,"https://www.facebook.com/mumtazrais.official",0,0
"31","AHMAD ZAINUDDIN LC",2009,"DKI Jakarta I",10,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)",NA,"https://www.facebook.com/B4ngZ4in",0,0
"32","AHMED ZAKI ISKANDAR ZULKARNAIN B BUS",2009,"Banten III",7,"GOLKAR",8,1,"Commission I (Defense, Foreign and Information Affairs)",NA,"NA; NA; NA",0,0
"33","AKBAR ZULFAKAR ST",2009,"Sulawesi Tengah",68,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","818845099","NA",0,0
"34","ALDENTUA SIRINGO RINGO SH",2009,"Sumatera Utara III",77,"PARTAI DAMAI SEJAHTERA",13,0,"n/a",NA,"NA",0,0
"35","ALEXANDER INDRA LUKMAN S SOS",2009,"Sumatera Barat I",71,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","153991078","NA",0,1
"36","ALEXANDER LITAAY",2009,"Maluku",55,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"
Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)",NA,"NA",0,0
"37","AMBAR TJAHYONO",2009,"Daerah Istimewa Yogyakarta",9,"DEMOKRAT",9,0,"n/a","3299059988","https://www.facebook.com/AmbarTjahyonoID; NA; NA; NA; NA",0,1
"38","AMIN AK  MM",2009,"Jawa Timur V",41,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","1186930097309093888","NA",0,1
"39","ANAS URBANINGRUM",2009,"Jawa Timur V",41,"DEMOKRAT",9,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","38643467","NA",0,1
"40","ANDI HARIANTO SINULINGGA",2009,"Aceh I",1,"GOLKAR",8,0,"n/a",NA,"NA; NA",0,0
"41","ANDI IDHANURSANTY",2009,"Sulawesi Selatan III",67,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"42","ANDI IWAN DARMAWAN ARAS SE",2009,"Sulawesi Selatan II",66,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a","1474052528","NA",0,0
"43","ANDI RIO IDRIS PADJALANGI SH M KN",2009,"Sulawesi Selatan II",66,"GOLKAR",8,1,"n/a","380278063","https://www.facebook.com/andirioidrispadjalangi",1,0
"44","ANDLACHMAD SAMPURNA JAYA",2009,"Lampung II",54,"DEMOKRAT",9,0,"n/a",NA,"NA",0,0
"45","ANGELINA SONDAKH SE",2009,"Jawa Tengah V",31,"DEMOKRAT",9,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)",NA,"NA",0,0
"46","ANITA JACOBA GAH SE",2009,"Nusa Tenggara Timur II",59,"DEMOKRAT",9,1,"
Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)",NA,"NA",0,0
"47","ANITA MEIZA SH  MKN",2009,"Jawa Timur VII",43,"DEMOKRAT",9,0,"n/a",NA,"NA",0,0
"48","ANSORY SIREGAR",2009,"Sumatera Utara III",77,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)",NA,"https://www.facebook.com/KawanUstadzAnsorySiregarDPRRI; NA",1,0
"49","ANTON SUKARTONO SURATTO",2009,"Jawa Barat IX",18,"DEMOKRAT",9,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","131719210","https://www.facebook.com/antonsukartonosuratto",0,1
"50","ARBAB PAPROEKA SH",2009,"Maluku",55,"PARTAI AMANAT NASIONAL",5,0,"n/a",NA,"NA",0,0
"51","ARIA BIMA",2009,"Jawa Tengah IX",30,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"
Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)","168052875","NA",0,1
"52","ARIF MUSTAFA",2009,"Jawa Tengah I",26,"PARTAI AMANAT NASIONAL",5,0,"n/a","2248486080; 866126437","NA",0,1
"53","ARIF WIBOWO",2009,"Jawa Timur IV",39,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)",NA,"NA",0,0
"54","ASDY NARANG SH M COMM LAW",2009,"Kalimantan Tengah",50,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)","1.031818916778e+18; 3755636660","NA; NA",0,0
"55","AUS HIDAYAT NUR",2009,"Kalimantan Timur",51,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)","202070219","NA",0,0
"56","AZIS SUBEKTI",2009,"Jawa Tengah V",31,"PARTAI AMANAT NASIONAL",5,0,"n/a","197360154","NA",0,1
"57","BACHRUDIN NASORI S SI MM",2009,"Jawa Tengah VIII",34,"PARTAI KEBANGKITAN BANGSA",1,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)","905988325915344896","https://www.facebook.com/Bachrudin-Nasori-140130236519657",0,0
"58","BASAR SIMANJUNTAK IR MSIE",2009,"Jawa Barat VI",20,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","1877604163","NA",0,0
"59","BEJO RUDIANTORO",2009,"Jawa Tengah VI",32,"GOLKAR",8,0,"n/a","217092510","NA",0,0
"60","BOBBY ADHITYO RIZALDI SE MBA CFE",2009,"Sumatera Selatan II",74,"GOLKAR",8,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","154205629","NA; NA",0,1
"61","BOWO SIDIK PANGARSO",2009,"Jawa Tengah II",27,"GOLKAR",8,0,"n/a","3372369898","NA",0,0
"62","BRIGJEN POL PURN DR BAMBANG IBNU SUPARTO",2009,"Jawa Timur XI",46,"PARTAI HATI NURANI RAKYAT",18,0,"n/a",NA,"NA",0,0
"63","BUDIMAN SUDJATMIKO M SC M PHIL",2009,"Jawa Tengah VII",33,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)","183217247","https://www.facebook.com/sudjatmiko.budiman",1,1
"64","BURSAH ZARNUBI SE",2009,"Sumatera Selatan II",74,"PARTAI BINTANG REFORMASI",29,0,"n/a","229835780; 241893290","NA; NA; NA",0,0
"65","CANDRI MAHANANI PUSPITASARI",2009,"Jawa Timur VI",42,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"66","CAPT H EPYARDI ASDA M MAR",2009,"Sumatera Barat I",71,"PARTAI PERSATUAN PEMBANGUNAN",15,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","2572973718","https://www.facebook.com/Epyardi-Asda-924586030985090; https://www.facebook.com/H.epyardiasda",1,1
"67","CAROL DANIEL KADANG SE MM",2009,"Nusa Tenggara Timur II",59,"PARTAI DAMAI SEJAHTERA",13,0,"n/a",NA,"NA",0,0
"68","CHEPY T WARTONO",2009,"Jawa Tengah VIII",34,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","706294976","NA",0,1
"69","CHRYS KELANA",2009,"Kalimantan Tengah",50,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"70","CHUSNUNIA",2009,"Lampung II",54,"PARTAI KEBANGKITAN BANGSA",1,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","2884506638","https://www.facebook.com/chusnuniauntuklampung; NA; https://www.facebook.com/Chusnuniachalim",0,1
"71","CORY SRIWATY SEBAYANG",2009,"Sumatera Utara I",75,"PARTAI PEDULI RAKYAT NASIONAL",4,0,"n/a",NA,"https://www.facebook.com/untukkaromaju",0,0
"72","DARIZAL BASIR",2009,"Sumatera Barat I",71,"DEMOKRAT",9,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)",NA,"NA; NA",0,0
"73","DECKY HARDIJANTHO",2009,"Jawa Tengah III",28,"DEMOKRAT",9,0,"n/a","1466770826","NA; NA; NA",0,0
"74","DERRY DRAJAT",2009,"Jawa Barat II",15,"PARTAI AMANAT NASIONAL",5,0,"n/a","498871168","NA; NA",0,1
"75","DESMOND JUNAIDI MAHESA",2009,"Kalimantan Timur",51,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)",NA,"NA",0,0
"76","DEWA AYU PUTU SRI WIGUNA WATI S SOS SH M SI",2009,"Bali",4,"GOLKAR",8,0,"n/a","531083844","https://www.facebook.com/Dewa-Ayu-Putu-Sri-Wigunawati-1782330581795201",0,0
"77","DEWI ARYANI HILMAN S SOS M SI",2009,"Jawa Tengah VIII",34,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)",NA,"https://www.facebook.com/Dewi-Aryani-175088569255544",0,0
"78","DIAZ GWIJANGGE",2009,"Papua",60,"DEMOKRAT",9,1,"Commission VIII (Religious, Social, and Women's Empowerment Affairs)",NA,"NA; NA",0,0
"79","DIDI IRAWADI SYAMSUDIN SH LL M",2009,"Jawa Barat X",23,"DEMOKRAT",9,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)",NA,"NA; NA",0,0
"80","DJAMAL AZIZ B SC SH MH",2009,"Jawa Timur IX",40,"PARTAI HATI NURANI RAKYAT",18,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","1054125252412751872","NA",0,1
"81","DODI REZA ALEX NOERDIN LIC ECON MBA",2009,"Sumatera Selatan I",73,"GOLKAR",8,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)",NA,"https://www.facebook.com/dodirezaalexnoerdin",1,0
"82","DONNY IMAM PRIAMBODO ST MM",2009,"Jawa Tengah III",28,"GOLKAR",8,0,"n/a","97965364","https://www.facebook.com/Donny-Imam-Priambodo-466239740557280; NA",0,1
"83","DR  HC IR H SISWONO YUDO HUSODO",2009,"Jawa Tengah I",26,"GOLKAR",8,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","344772738","NA",0,0
"84","DR ABDURRAHMAN ABDULLAH",2009,"Nusa Tenggara Barat",57,"DEMOKRAT",9,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)",NA,"https://www.facebook.com/DR-Abdurrahman-Abdullah-542389565812771",0,0
"85","DR ADHYAKSA DAULT SH MSI",2009,"Sulawesi Tengah",68,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","2179818709","NA; https://www.facebook.com/985578218159680/posts/4308293405888128",1,1
"86","DR AHMAD NIZAR SHIHAB DSAN",2009,"Sulawesi Selatan I",65,"DEMOKRAT",9,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)",NA,"NA; https://www.facebook.com/pakdokter2",0,0
"87","DR ANDI JAMARO DULUNG",2009,"Sulawesi Selatan II",66,"PARTAI PERSATUAN PEMBANGUNAN",15,0,"n/a",NA,"NA",0,0
"88","DR ANDREAS HUGO PAREIRA",2009,"Jawa Barat IX",18,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","3013361328","https://www.facebook.com/Dr-Andreas-Hugo-Pareira-1766105710290235",1,1
"89","DR AW THALIB M SI",2009,"Gorontalo",13,"PARTAI PERSATUAN PEMBANGUNAN",15,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)","1259850187","NA; NA",0,0
"90","DR AZIS SYAMSUDDIN",2009,"Lampung II",54,"GOLKAR",8,1,"Vice Speaker for Politics and Security","258774642","https://www.facebook.com/azissyamsuddin.official",0,1
"91","DR BENNY KABUR HARMAN SH",2009,"Nusa Tenggara Timur I",58,"DEMOKRAT",9,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs) ; Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","4326839355","https://www.facebook.com/bennyharmanid",1,1
"92","DR CAPT ANTHON SIHOMBING",2009,"Sumatera Utara III",77,"GOLKAR",8,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","1576920098","NA; NA; https://www.facebook.com/AnthonSN",1,0
"93","DR DIAN A SYAKHROZA",2009,"Bengkulu",8,"DEMOKRAT",9,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","557302861","NA",0,0
"94","DR H A EFFENDY CHOIRIE",2009,"Jawa Timur X",45,"PARTAI KEBANGKITAN BANGSA",1,1,"Commission I (Defense, Foreign and Information Affairs)",NA,"NA",0,0
"95","DR H AHMAD FATHONI RODLI",2009,"Jawa Timur I",36,"PARTAI KEBANGKITAN BANGSA",1,0,"n/a",NA,"NA; NA",0,0
"96","DR H ALI MASCHAN MOESA M SI",2009,"Jawa Timur IX",40,"PARTAI KEBANGKITAN BANGSA",1,1,"However, in 2009 Commission VIII (Religious, Social, and Women's Empowerment Affairs)","111690570","NA; NA",0,0
"97","DR H DEDING ISHAK SH MM",2009,"Jawa Barat III",16,"GOLKAR",8,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)","3222230071","NA; https://www.facebook.com/ishakdeding",0,1
"98","DR H HAPPY BONE ZULKARNAIN MS",2009,"Jawa Barat I",14,"GOLKAR",8,0,"n/a",NA,"NA; NA",0,0
"99","DR H HARRY AZHAR AZIS MA",2009,"Kepulauan Riau",52,"GOLKAR",8,1,"Vice Chairman of Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","101844953","https://www.facebook.com/Harry-Azhar-Azis-200875053331423; NA",1,1
"100","DR H M  MARKUM SINGODIMEJO",2009,"Jawa Timur VI",42,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"101","DR H M AZWIR DAINY TARA MBA",2009,"Sumatera Barat I",71,"GOLKAR",8,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)",NA,"NA; NA",0,0
"102","DR H M IQBAL WIBISONO SH MH",2009,"Jawa Tengah V",31,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"103","DR H MARDANI M ENG",2009,"Jawa Barat VI",20,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","122020937","https://www.facebook.com/MardaniAliSeraOfficial",0,1
"104","DR H OESMAN SAPTA",2009,"Kalimantan Barat",47,"PARTAI PERSATUAN DAERAH",22,0,"n/a","825409943691948032; 890538990012465152","NA; NA",0,0
"105","DR H RITOLA TASMAYA MPH",2009,"DKI Jakarta II",11,"GOLKAR",8,0,"n/a",NA,"NA; NA",0,0
"106","DR H SYARIFUDDIN HASAN SE MM MBA",2009,"Jawa Barat III",16,"DEMOKRAT",9,1,"n/a (Minister of Cooperatives and SME 2009-2014)","1363497590","NA; ttps://www.facebook.com/syariefhasan2014",0,1
"107","DR HIDAYAT NUR WAHID",2009,"Jawa Tengah IX",30,"PARTAI KEADILAN SEJAHTERA",25,1,"n/a","86012022","https://www.facebook.com/hnurwahid",1,1
"108","DR HJ MARISSA HAQUE FAWZI SH M HUM",2009,"Jawa Barat I",14,"PARTAI PERSATUAN PEMBANGUNAN",15,0,"n/a","560836942","NA",0,1
"109","DR INDRAWATI SUKADIS",2009,"Jambi",25,"DEMOKRAT",9,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","945278514147737600","NA",0,0
"110","DR IR ARIF BUDIMANTA M SC",2009,"Jawa Barat III",16,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","187368336","NA",0,1
"111","DR IR H LILI ASDJUDIREDJA SE PH D",2009,"Jawa Barat II",15,"GOLKAR",8,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)",NA,"NA; https://www.facebook.com/liliasdjudiredja4",0,0
"112","DR IR HETIFAH MPP",2009,"Kalimantan Timur",51,"GOLKAR",8,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs) ;  
Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)
","158465226; 1328506157829218304","NA; https://www.facebook.com/hetifahpage",1,1
"113","DR IR HJ ANDI YULIANI PARIS M SC",2009,"Sulawesi Selatan II",66,"PARTAI AMANAT NASIONAL",5,0,"n/a",NA,"NA",0,0
"114","DR IR MOHAMMAD JAFAR HAFSAH",2009,"Sulawesi Selatan II",66,"DEMOKRAT",9,1,"Vice Chairman of Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","1376785552603672320","NA; https://www.facebook.com/mohammadjafarhafsah",1,1
"115","DR IR WAYAN KOSTER MM",2009,"Bali",4,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","800605239065722880; 2172270102","NA; NA; NA; NA",0,0
"116","DR KAROLIN MARGRET NATASA",2009,"Kalimantan Barat",47,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","4886438719","https://www.facebook.com/dr.karolin",1,0
"117","DR KIKIT WIRIANTI SUGATA SH",2009,"Jawa Barat I",14,"DEMOKRAT",9,0,"n/a",NA,"NA; NA; NA",0,0
"118","DR LEANY NANI HARSA M SI",2009,"Jawa Barat III",16,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","216607655","NA; NA",0,0
"119","DR MOHAMAD SOHIBUL IMAN",2009,"DKI Jakarta II",11,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","2312992040; 1081034579908022272; 1080731605067489280","https://www.facebook.com/SohibulIman; https://www.facebook.com/DRSohibulIman",1,1
"120","DR NOVA RIYANTI YUSUF",2009,"DKI Jakarta II",11,"DEMOKRAT",9,1,"Deputy Head of Commission IX (Demography, Health, Manpower and Transmigration Affairs)","18406116","https://www.facebook.com/novariyantiyusuf; NA",1,1
"121","DR NURSANITA NASUTION",2009,"DKI Jakarta II",11,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","2406945098","NA; NA; NA",0,0
"122","DR POEMPIDA HIDAYATULLOH BENG HON  PHD DIC",2009,"Sumatera Barat I",71,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"123","DR RIBKA TJIPTANING",2009,"Jawa Barat IV",17,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","1108495813","NA",0,1
"124","DR RUYANDI HUTASOIT SP U",2009,"DKI Jakarta III",12,"PARTAI DAMAI SEJAHTERA",13,0,"n/a","170605087; 116377133","NA; NA; NA",0,0
"125","DR SHRI IGN ARYA WEDAKARNA MWS SE  MTRU  M SI",2009,"Bali",4,"PARTAI NASIONAL INDONESIA MARHAENISME",28,0,"n/a","2373590366; 1968234014","NA",0,1
"126","DR SIHAR PANGIHUTAN HAMONANGAN SITORUS",2009,"Sumatera Utara II",76,"PARTAI PEDULI RAKYAT NASIONAL",4,0,"n/a","287225054","NA; NA",0,1
"127","DR SOTAMAN SARAGIH SH MARS",2009,"Sumatera Utara III",77,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","1032146955927867392; 488118680","NA; NA",0,0
"128","DR SRI DAMAYANTY MANULLANG DEA",2009,"Sumatera Utara II",76,"DEMOKRAT",9,0,"n/a",NA,"NA",0,0
"129","DR SUBAGYO PARTODIHARJO",2009,"Jawa Timur IV",39,"DEMOKRAT",9,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)",NA,"NA",0,0
"130","DR SUMARJATI ARJOSO SKM",2009,"Jawa Tengah III",28,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","1073125114948927360","https://www.facebook.com/SumarjatiArjosoSKM",0,0
"131","DR SURYA CHANDRA SURAPATY MPH PH D",2009,"Sumatera Selatan I",73,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)",NA,"NA; NA",0,0
"132","DR ULLA NUCHRAWATY MM",2009,"Sulawesi Selatan II",66,"GOLKAR",8,0,"n/a","310220041","NA",0,1
"133","DR VERNA GLADIES MERRY INKIRIWANG",2009,"Sulawesi Tengah",68,"DEMOKRAT",9,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","3435841033","NA",0,0
"134","DR YASSONNA H LAOLY SH M SC",2009,"Sumatera Utara II",76,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)","2908055312","https://www.facebook.com/yasonnahlaoly",1,0
